SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
504614,SARDA ENMIN ,B ,Q,429.35,431.80,420.00,424.25,423.05,420.90,413,7940,3369098.00,
504646,BHAGWATI AUT,X ,Q,139.00,145.00,139.00,144.05,139.50,145.00,12,1346,189880.00,
504673,UNIV.PRIME  ,XT,Q,3.09,3.09,3.09,3.09,3.09,3.09,6,1321,4081.00,
504697,GALADA TELE.,Z ,Q,1.27,1.27,1.27,1.27,1.27,1.33,3,125,158.00,
504741,IND.HUME PIP,A ,Q,169.90,170.95,168.75,170.00,170.00,168.30,148,11667,1989413.00,
504786,INVEST &PREC,X ,Q,178.00,183.00,175.00,177.45,177.90,177.65,26,2576,460997.00,
504810,INFORMEDTEC ,X ,Q,24.00,24.00,23.70,23.70,23.70,24.90,4,550,13185.00,
504840,KAIRA CAN CO,X ,Q,980.00,1088.00,980.00,1001.05,985.50,1076.70,24,96,96080.00,
504879,ORIENT ABRAS,B ,Q,21.30,21.35,20.65,20.80,20.65,21.05,50,3449,72068.00,
504908,DUNCANENG   ,X ,Q,116.00,116.00,107.50,109.00,109.00,113.00,5,129,13909.00,
504918,SANDUR MANG.,X ,Q,951.00,1015.90,951.00,959.05,959.05,951.30,592,19287,18839818.00,
504959,STOVAC IND. ,X ,Q,1769.00,1769.00,1711.00,1715.50,1715.50,1718.45,55,603,1037539.00,
504961,TATA YODOGAW,XT,Q,37.80,40.75,37.80,39.95,40.00,39.50,63,4173,167942.00,
504966,TINPLATE    ,A ,Q,157.30,161.45,156.90,158.80,158.00,153.80,990,44251,7048694.00,
504973,CHOLAHLDNG  ,A ,Q,588.75,603.00,588.25,597.30,603.00,587.30,289,3845,2274431.00,
504988,WELCAST     ,X ,Q,375.90,375.90,342.60,343.45,342.60,360.60,6,73,25105.00,
505010,AUTO AXLES  ,A ,Q,1084.40,1092.80,1060.00,1061.15,1060.00,1065.55,103,390,417013.00,
505029,ATLAS CYCLES,Z ,Q,27.60,27.60,26.25,26.25,26.25,27.60,27,982,25857.00,
505036,AUTO COR.GOA,X ,Q,420.10,422.00,411.00,412.60,418.90,418.00,78,1868,778377.00,
505075,SETCO AUTO  ,B ,Q,14.05,14.30,13.70,13.90,13.95,13.75,64,27739,389655.00,
505141,SCOOTERS IND,T ,Q,35.95,38.10,35.95,36.60,37.20,36.65,50,3436,127003.00,
505160,TALBROS AUTO,B ,Q,206.90,208.65,201.00,201.95,202.20,206.20,431,5324,1095590.00,
505163,ZF STEERING ,X ,Q,382.00,389.95,371.00,373.05,373.05,377.85,115,4920,1852499.00,
505192,SMLISUZU    ,A ,Q,462.50,477.15,452.00,454.80,452.00,459.80,278,2974,1373910.00,
505196,TIL LTD.    ,B ,Q,159.10,160.25,152.05,154.30,153.20,159.05,184,2511,389314.00,
505200,EICHER MOTOR,A ,Q,2561.00,2656.60,2561.00,2639.10,2639.10,2559.85,3194,36081,94439841.00,
505216,ALFRED HERB ,X ,Q,526.00,560.65,525.25,544.75,550.45,541.70,18,117,63344.00,
505232,VELJAN      ,X ,Q,681.25,709.95,681.25,681.70,681.30,699.25,19,160,110200.00,
505242,DYNAMAT.TECH,B ,Q,1011.00,1033.75,958.10,980.15,980.15,975.90,1580,10704,10637380.00,
505250,G.G.DANDEKAR,X ,Q,45.15,48.70,44.50,48.70,48.70,46.40,5,134,6479.00,
505255,GMM PFAUDLER,A ,Q,4191.10,4220.00,4112.00,4193.40,4171.30,4150.50,665,2242,9346008.00,
505283,KIRLOSAR PN ,X ,Q,265.00,270.00,260.65,267.60,268.90,266.15,231,14869,3931843.00,
505299,KPT         ,X ,Q,89.45,90.40,88.50,88.50,88.50,92.00,13,1352,120847.00,
505302,LAXMI AUTOLM,X ,Q,51.90,51.90,48.40,50.40,50.40,50.90,15,469,22837.00,
505324,MANUGRAPH IN,B ,Q,12.00,12.00,11.16,11.88,11.86,11.69,12,2203,25792.00,
505343,MONOTYPE IND,Z ,Q,0.19,0.19,0.19,0.19,0.19,0.19,6,25000,4750.00,
505355,NESCO LTD   ,A ,Q,520.00,525.35,513.15,520.35,520.75,522.10,744,8515,4432856.00,
505358,INTEGRA ENG ,X ,Q,27.05,27.50,26.05,27.00,27.00,27.50,42,9552,256505.00,
505368,REVATHI EQU.,B ,Q,489.30,489.30,455.50,457.65,457.65,465.85,113,809,370129.00,
505400,TEXINFRA    ,B ,Q,71.00,71.45,71.00,71.00,71.00,69.95,61,2648,188008.00,
505412,WENDT(INDIA),B ,Q,3113.25,3150.00,3112.20,3150.00,3150.00,3177.00,14,17,53299.00,
505509,RESPON IND  ,A ,Q,162.80,167.55,159.00,162.90,167.55,160.50,451,16726,2690931.00,
505523,MAHA CORP   ,X ,Q,0.49,0.49,0.49,0.49,0.49,0.49,47,29925,14663.00,
505526,DOLAT INV.  ,B ,Q,70.10,72.00,68.00,69.25,69.40,70.80,431,121408,8453633.00,
505533,WESTLIFE DEV,A ,Q,458.50,460.00,441.30,459.50,459.50,458.50,453,6956,3153597.00,
505537,ZEE ENTER   ,A ,Q,202.00,203.85,198.00,201.10,201.10,199.90,4151,375700,75582174.00,
505590,SVPGLOB     ,XT,Q,71.80,72.50,69.05,69.50,69.50,69.90,148,24625,1739988.00,
505650,SKYL MILLAR ,X ,Q,8.00,8.31,8.00,8.02,8.17,8.15,36,5677,45960.00,
505681,BIMETAL BEAR,X ,Q,293.50,299.85,293.50,295.05,294.50,298.25,17,1353,399082.00,
505688,BHARAT GEARS,B ,Q,72.75,75.55,72.75,73.55,73.55,73.00,37,780,57426.00,
505693,LATIMMETAL  ,X ,Q,46.00,46.00,44.40,45.75,45.75,44.50,8,104,4674.00,
505700,ELECON ENG  ,B ,Q,64.70,66.50,62.00,64.10,64.10,63.90,328,27876,1814843.00,
505710,GRAUER& WEIL,X ,Q,39.00,41.50,39.00,39.80,39.80,39.25,451,106802,4264420.00,
505711,GAJRA BEVEL ,XT,Q,1.50,1.50,1.47,1.47,1.47,1.49,4,1202,1796.00,
505712,HIMTEK      ,X ,Q,71.10,75.95,71.10,72.40,72.30,74.75,39,2320,167132.00,
505714,GABRIEL(I)  ,A ,Q,105.10,105.10,104.15,104.75,105.00,106.35,269,26059,2733646.00,
505720,HERC.HOISTS ,B ,Q,114.20,114.30,110.45,111.10,111.10,111.15,210,13701,1546529.00,
